,Name,Industry,Sector,Headquarters,Founded,Notes,Status_Type,Status_State
348,Reliance Digital,Retail,Specialty retailers,Mumbai,2007,"Electronic items, part of Reliance Retail",P,A
349,Reliance Entertainment,Consumer services,Broadcasting & entertainment,Mumbai,2005,Part of Reliance Group,P,A
350,Reliance Group,Conglomerate,—,Mumbai,1966,"Telecom, financials, industrials, consumer services",P,A
351,Reliance Health,Health care,Health care providers,Mumbai,2006,Part of Reliance Group,P,A
352,Reliance Industrial Infrastructure,Industrials,Construction,Mumbai,1988,Part of Reliance Industries,P,A
353,Reliance Industries,Conglomerate,—,Mumbai,1966,"Oil & gas, industrials, consumer services, telecommunications",P,A
354,Reliance Infrastructure,Industrials,Construction,Mumbai,2002,Part of Reliance Group,P,A
355,Reliance Life Insurance,Financials,Life insurance,Mumbai,2001,Part of Reliance Group,P,A
356,Reliance MediaWorks,Consumer services,Broadcasting & entertainment,Mumbai,1975,Part of Reliance Group,P,A
357,Swan Defence and Heavy Industries Limited,Industrials,Shipbuilding,Rajula,1997,Purchased by Swan Energy in 2024,P,A
358,Reliance Power,Utilities,Conventional electricity,Navi Mumbai,2007,"Thermal power generation, part of Reliance Group",P,A
359,Reliance Retail,Retail,Diversified retailers,Mumbai,2006,"Supermarkets, part of Reliance Industries",P,A
360,Route Mobile,Technology,Consumer digital services,Mumbai,2004,Cloud computing,P,A
361,Royal Enfield,Consumer goods,Automobiles,Chennai,1955,Motorcycles,P,A
362,RPG Group,Conglomerate,—,Mumbai,1979,"Technology, industrials",P,A
363,RP-Sanjiv Goenka Group,Conglomerate,—,Kolkata,2011,"Industrials, beverages, sports club",P,A
364,Sahara India Pariwar,Conglomerate,—,Lucknow,1978,"Financials, construction, media, retail",P,A
365,Samtel Avionics,Industrials,Aerospace & defense,New Delhi,2005,Aerospace & defense,P,A
366,Samtel Group,Conglomerate,—,New Delhi,1973,"Electronics, defense, real estate, construction, education",P,A
367,Saravana Bhavan,Consumer goods,Food products,Chennai,1981,"Food, sweets, bakery, ice cream",P,A
368,SAS Motors,Industrials,Agricultural & farm machinery,Faridabad,2004,Tractors,P,A
369,Sasken Technologies,Industrials,Business support services,Bengaluru,1989,Engineering,P,A
370,Sea6 Energy,Energy,Alternative energy,Bengaluru,2010,Biofuel,P,A
371,Serum Institute of India,Health care,Pharmaceuticals & biotechcnology,Pune,1966,Vaccines,P,A
372,Shapoorji Pallonji Group,Conglomerate,—,Mumbai,1865,"Real estate, industrials, consumer goods",P,A
373,Shipping Corporation of India,Industrials,Marine transportation,Mumbai,1961,State-owned shipping,S,A
374,Shoppers Stop,Retail,Diversified retailers,Mumbai,1991,Clothing & home departmental stores,P,A
375,Shree Cement,Industrials,Cement,Kolkata,1979,Cement,P,A
376,Shree Ganesh Jewellery House,Retail,Specialty retailers,Kolkata,2002,Jeweler,P,A
377,Shree Renuka Sugars,Consumer goods,Food products,Belgaum,1998,Sugar,P,A
378,Shriram Group,Conglomerate,—,Chennai,1974,"Financials, industrials, health care",P,A
379,Singareni Collieries Company,Energy,Coal,Kothagudem,1920,Coal mining,S,A
380,Skipper Limited,Industrials,Electrical equipment & components,Kolkata,1981,Electrical transmission infrastructure,P,A
381,Skyroot Aerospace,Industrials,"Aerospace, space industry",Hyderabad,2018,Launch vehicles,P,A
382,Snapdeal,Technology,Consumer digital services,New Delhi,2010,E-commerce,P,A
383,Sobha,Real estate,Real estate holding & development,Bengaluru,1995,Developer,P,A
384,Sonata Software,Technology,Software,Bengaluru,1986,BI and analytics,P,A
385,South Indian Bank,Financials,Banks,Thrissur,1929,Private bank,P,A
386,SpiceJet,Consumer services,Airlines,Gurugram,2004,Low-cost airline,P,A
387,SSS Defence,Industrials,Defense,Bengaluru,2017,Firearms,P,A
388,State Bank of India,Financials,Banks,Mumbai,1806,State bank,S,A
389,Steel Authority of India Limited,Basic materials,Iron & steel,New Delhi,1954,State steel,S,A
390,Sterlite Copper,Basic materials,Copper,Kolkata,1975,"Mining, part of Vedanta Resources (UK)",P,A
391,Sterlite Technologies,Telecommunications,Telecommunications equipment,Pune,2000,"Optical fiber & cables, part of Vedanta Resources (UK)",P,A
392,Suminter India Organics,Consumer goods,Food products,Mumbai,2003,Organic products,P,A
393,Sun Group,Consumer services,Broadcasting & entertainment,Chennai,1992,"TV, publisher",P,A
394,Sun Pharma,Health care,Pharmaceuticals,Mumbai,1983,Pharma,P,A
395,Surya Roshni,Industrials,Diversified industrials,Delhi,1973,"Fans, PVC, kitchen appliances, lighting, steel",P,A
396,Suzlon,Utilities,Alternative electricity,Pune,1995,Turbines,P,A
397,Swiggy,Technology,Consumer digital services,Bengaluru,2014,"Food delivery, online grocery",P,A
398,Synthite,Consumer goods,Food products,Kochi,1972,Value added spice extracts,P,A
399,T-Series,Consumer services,Broadcasting & entertainment,Noida,1983,Record and film producer,P,A
400,Tamil Nadu Newsprint and Papers Limited,Consumer services,Publishing,Chennai,1979,State publisher,S,A
401,Tamilnad Mercantile Bank,Financials,Banks,Thoothukudi,1921,Bank,P,A
402,Tanla Platforms,Technology,Consumer digital services,Hyderabad,1999,Cloud computing,P,A
403,Tara International,Consumer goods,Automobiles,Mumbai,?,"Automotive, electric vehicles",P,A
404,Tata Advanced Systems,Industrials,Aerospace & defense,Hyderabad,2007,"Aerospace, defense, part of Tata Sons",P,A
405,Tata Business Support Services,Industrials,Business support services,Hyderabad,2004,Part of Tata Sons,P,A
406,Tata Chemicals,Chemicals,Chemicals: diversified,Mumbai,1939,Part of Tata Sons,P,A
407,Tata Communications,Telecommunications,Telecommunications service providers,Mumbai,1986,"Fixed-line telecommunications, part of Tata Sons",P,A
408,Tata Consultancy Services,Industrials,Business support services,Mumbai,1968,Part of Tata Sons,P,A
409,Tata Consumer Products,Consumer goods,Food products,Kolkata,1964,"Tea, coffee, part of Tata Sons",P,A
410,Tata Group,Conglomerate,—,Mumbai,1868,Part of Tata Sons,P,A
411,Tata Interactive Systems,Industrials,Business support services,Mumbai and Kolkata,1990,Part of Tata Sons,P,A
412,Tata Motors,Consumer goods,Automobiles,Mumbai,1945,"Automotive, Part of Tata Sons",P,A
413,Tata Play,Consumer services,Broadcasting & entertainment,Mumbai,2004,"Satellite streaming, part of Tata Sons",P,A
414,Tata Power,Utilities,Conventional electricity,Mumbai,1910,"Thermal power generation, part of Tata Sons",P,A
415,Tata Steel,Basic materials,Iron & steel,Mumbai,1907,Part of Tata Sons,P,A
416,Tata Steel BSL,Basic materials,Iron & steel,New Delhi,1987,Steel,P,A
417,Tata Technologies,Industrials,Industrial engineering,Pune,1989,"Engineering & design, IT services, part of Tata Sons",P,A
418,Tech Mahindra,Industrials,Business support services,Pune,1986,"Consulting, BPO",P,A
